1548593529, 897, 0.0, 1293.9386, 296.9934, 0.45318604, 0.45318604
1548593539, 637, 2.0, 1542.9163, 328.99658, 0.50354004, 0.50354004
1548593539, 716, 0.0, 1542.9163, 328.99658, 0.50354004, 0.50354004
1548593543, 967, 2.0, 1098.9569, 965.9949, 0.55389404, 0.55389404
1548593544, 110, 0.0, 1098.9569, 965.9949, 0.55389404, 0.55389404
1548593551, 184, 2.0, 849.9115, 933.9917, 0.60424805, 0.60424805
1548593551, 517, 0.0, 849.9115, 933.9917, 0.60424805, 0.60424805
1548593554, 745, 2.0, 1053.9038, 243.99536, 0.65460205, 0.65460205
1548593554, 847, 1.0, 1055.9363, 245.01709, 0.65460205, 0.65460205
1548593554, 865, 1.0, 1055.9363, 246.40955, 0.65460205, 0.65460205
1548593555, 6, 1.0, 1054.92, 246.00586, 0.65460205, 0.65460205
1548593555, 12, 1.0, 1053.4431, 246.00586, 0.65460205, 0.65460205
1548593555, 17, 0.0, 1053.4431, 246.00586, 0.65460205, 0.65460205
1548593558, 928, 2.0, 1069.9603, 342.01538, 0.70495605, 0.70495605
1548593559, 29, 1.0, 1066.9116, 343.99292, 0.70495605, 0.70495605
1548593559, 64, 0.0, 1066.9116, 343.99292, 0.70495605, 0.70495605
1548593563, 675, 2.0, 1358.9099, 701.9934, 0.75531006, 0.75531006
1548593563, 799, 1.0, 1357.8937, 701.9934, 0.75531006, 0.75531006
1548593563, 855, 0.0, 1357.8937, 701.9934, 0.75531006, 0.75531006
1548593566, 566, 2.0, 910.95337, 416.0083, 0.80566406, 0.80566406
1548593566, 627, 0.0, 910.95337, 416.0083, 0.80566406, 0.80566406
1548593566, 806, 2.0, 910.95337, 416.0083, 0.85601807, 0.85601807
1548593566, 970, 1.0, 910.95337, 416.99707, 0.85601807, 0.85601807
1548593567, 175, 1.0, 923.9612, 420.01282, 0.85601807, 0.85601807
1548593567, 286, 1.0, 1308.9451, 478.49854, 0.85601807, 0.85601807
1548593567, 407, 1.0, 1599.9609, 541.5161, 0.85601807, 0.85601807
1548593567, 452, 1.0, 1673.4348, 537.47864, 0.85601807, 0.85601807
1548593567, 471, 1.0, 1692.9126, 534.99023, 0.85601807, 0.85601807
1548593567, 512, 0.0, 1692.9126, 534.99023, 0.85601807, 0.85601807
