,apm,epm,gpm,aht,dev,tln,dbc,tbc,label
0,0.005034433574696654,0.04647169453566142,0.0030981129690440946,0.016076425951546118,0.07591013131967704,0.7256436842687997,0.05581874494375382,0.6797868411987377,0
1,0.0059239396966513915,0.026328620874006184,0.002632862087400618,0.014633106184835381,0.046810276076481756,0.860433780589091,0.04780187669939394,0.5042104111983198,0
2,0.006059808850507261,0.05703349506359775,0.0021387560648849155,0.015523454967677772,0.0521002287225952,0.8145283850526126,0.04791343441485956,0.5727113462636274,0
3,0.00481837412710775,0.03212249418071833,0.002248574592650283,0.013798395833628564,0.05212323120059896,0.7860387425166752,0.052402582834445016,0.6127231921246269,0
4,0.004728265373545179,0.05201091910899696,0.0023641326867725894,0.017841321342843806,0.0745535208179672,0.7353305818954364,0.07353305818954364,0.6672871968992304,0
5,0.0038546865980955665,0.012848955326985222,0.002998089576296552,0.01698917426568046,0.06565729032773465,0.6069735215617857,0.06744150239575397,0.7888259207576828,0
6,0.00806580052027664,0.038408573906079234,0.004993114607790301,0.016178156887712163,0.05658010164687159,0.7678434581649388,0.03656397419833042,0.6356502591838217,0
7,0.006256902046740484,0.01564225511685121,0.004301620157134083,0.016042001636504075,0.07013133672104464,0.7980769938834414,0.04987981211771508,0.5959085777751023,0
8,0.0069441946113112055,0.03267856287675861,0.0028593742517163787,0.018894296526047443,0.06257654489278203,0.7356969179349644,0.04327628929029202,0.6719226912247593,0
9,0.003984543017710313,0.04346774201138524,0.002535618283997472,0.01681630827309146,0.07131734202361968,0.8113101962649286,0.07375547238772079,0.5736333268678407,0
10,0.004018940204915409,0.03653582004468553,0.003653582004468553,0.015787902843551988,0.050787403042975764,0.7172111690383425,0.06520101536712204,0.6907705709781877,0
11,0.003601301083303643,0.028810408666429144,0.0032411709749732786,0.017034154124026233,0.06621157946189628,0.7365203552303204,0.07365203552303204,0.6682705246581269,0
12,0.004397502717303708,0.040592332775111144,0.002706155518340743,0.014276705074323279,0.05376061590758483,0.7760533127471086,0.0596964086728545,0.6240265760745262,0
13,0.005201431081194934,0.020805724324779735,0.0041611448649559474,0.014856828332657529,0.055142576391044425,0.7952530614921406,0.05301687076614271,0.6008519803960348,0
14,0.006397394721144933,0.021324649070483107,0.0031986973605724663,0.016855687120218284,0.05431855944927911,0.8069153561996093,0.0448286308999783,0.5857793805776625,0
15,0.006855800730758019,0.034279003653790094,0.0019588002087880052,0.023027561978311375,0.0733488210852803,0.8891978416284406,0.06351413154488862,0.44514822967045636,0
16,0.003011068655058487,0.04301526650083553,0.0012904579950250659,0.023207760450212694,0.07072481422068604,0.730738482303622,0.10439121175766028,0.6691203934482054,0
17,0.003254629461863,0.02789682395882571,0.0013948411979412857,0.024730755842863748,0.06740364774204884,0.6666844483363167,0.09524063547661667,0.7351975480815526,0
18,0.004401542574405848,0.04401542574405848,0.0009781205720901884,0.02702510913997335,0.04803756416304515,0.6130595527294462,0.06811772808104957,0.7839147325016814,0
19,0.0032969499301208362,0.020605937063255225,0.0020605937063255227,0.022494814627386957,0.0593764493004451,0.6876594522617958,0.08595743153272449,0.7178192653413087,0
20,0.0031487530961558986,0.044982187087941404,0.0031487530961558986,0.027074992609122828,0.06333494985504376,0.6641965880762608,0.09488522686803726,0.7369206799682001,0
21,0.0021950408662032897,0.01317024519721974,0.001756032692962632,0.021365064431045355,0.09133100657740012,0.722034163733372,0.14440683274667443,0.669950861708202,0
22,0.003396250132257593,0.05094375198386389,0.0011320833774191975,0.029919346403221653,0.09471380714824161,0.5969313296550416,0.09948855494250694,0.7882265287111808,0
23,0.003910493617429764,0.01737997163302117,0.003475994326604234,0.01924670932693826,0.051266451595689266,0.636597035758328,0.07073300397314757,0.765776033460607,0
